Date,Open,High,Low,Close,Volume,up_n,down_n,body_n,upper_bb,middle_bb,lower_bb
2026-05-18 20:38:00+03:00,4549.065,4549.85,4547.315,4548.1,503,31.0,31.0,38.1,4556.853098191048,4552.475600000004,4548.098101808961
2026-05-18 20:39:00+03:00,4548.105,4549.855,4547.95,4549.675,469,9.4,8.1,82.4,4556.831089677617,4552.332400000004,4547.833710322391
2026-05-18 20:40:00+03:00,4549.68,4550.625,4549.185,4550.535,505,6.3,34.4,59.4,4556.722450002818,4552.206200000004,4547.689949997191
2026-05-18 20:41:00+03:00,4550.56,4551.325,4547.815,4548.66,547,21.8,24.1,54.1,4556.548895224406,4551.959400000004,4547.369904775603
2026-05-18 20:42:00+03:00,4548.67,4548.79,4547.95,4548.06,239,14.3,13.1,72.6,4556.511681033969,4551.734600000004,4546.95751896604
2026-05-18 20:43:00+03:00,4548.055,4549.635,4547.95,4549.27,302,21.7,6.2,72.1,4556.072440600086,4551.479800000005,4546.887159399923
2026-05-18 20:44:00+03:00,4549.145,4549.52,4548.125,4548.225,458,26.9,7.2,65.9,4555.7880605888495,4551.220800000005,4546.65353941116
2026-05-18 20:45:00+03:00,4548.225,4548.7,4547.845,4548.6,453,11.7,44.4,43.9,4555.426449877022,4550.977200000005,4546.527950122988
2026-05-18 20:46:00+03:00,4548.62,4549.415,4547.11,4547.315,346,34.5,8.9,56.6,4555.167993603634,4550.701000000005,4546.234006396375
2026-05-18 20:47:00+03:00,4547.31,4548.96,4547.31,4548.87,443,5.5,0.0,94.5,4554.73109969657,4550.479000000005,4546.22690030344
2026-05-18 20:48:00+03:00,4548.88,4549.765,4548.75,4549.3,407,45.8,12.8,41.4,4554.37080799871,4550.303800000005,4546.2367920013
2026-05-18 20:49:00+03:00,4549.315,4549.335,4546.7,4546.71,425,0.8,0.4,98.9,4554.055473684185,4550.019000000006,4545.982526315826
2026-05-18 20:50:00+03:00,4546.705,4548.09,4546.5,4547.935,381,9.7,12.9,77.4,4553.654931954974,4549.797400000005,4545.939868045036
2026-05-18 20:51:00+03:00,4547.895,4548.435,4547.28,4547.685,454,46.8,35.1,18.2,4553.102544787432,4549.548200000006,4545.99385521258
2026-05-18 20:52:00+03:00,4547.505,4549.145,4547.505,4548.595,401,33.5,0.0,66.5,4552.788996196677,4549.4002000000055,4546.011403803334
2026-05-18 20:53:00+03:00,4548.6,4548.79,4547.615,4548.725,366,5.5,83.8,10.6,4552.448537871829,4549.2590000000055,4546.069462128182
2026-05-18 20:54:00+03:00,4548.73,4549.36,4547.66,4547.76,385,37.1,5.9,57.1,4551.598832959646,4549.009800000005,4546.420767040365
2026-05-18 20:55:00+03:00,4547.825,4547.985,4546.505,4547.48,496,10.8,65.9,23.3,4551.116316426154,4548.819800000005,4546.523283573855
2026-05-18 20:56:00+03:00,4547.49,4547.505,4546.93,4547.145,409,2.6,37.4,60.0,4550.516617398894,4548.6138000000055,4546.710982601117
2026-05-18 20:57:00+03:00,4547.15,4547.18,4545.645,4546.22,376,2.0,37.5,60.6,4550.463880297332,4548.454800000006,4546.44571970268
2026-05-18 20:58:00+03:00,4546.245,4546.715,4546.06,4546.485,306,35.1,28.2,36.6,4550.41805584811,4548.328400000006,4546.238744151901
2026-05-18 20:59:00+03:00,4546.44,4547.39,4546.44,4546.935,300,47.9,0.0,52.1,4550.383936929411,4548.245200000006,4546.1064630706005
2026-05-18 21:00:00+03:00,4546.95,4547.015,4545.47,4546.195,591,4.2,46.9,48.9,4550.381409607204,4548.128800000006,4545.876190392808
2026-05-18 21:01:00+03:00,4546.36,4546.635,4545.38,4545.535,490,21.9,12.4,65.7,4550.3411807768925,4547.963000000006,4545.58481922312
2026-05-18 21:02:00+03:00,4545.525,4545.805,4543.9,4545.24,706,14.7,70.3,15.0,4550.370700661758,4547.810200000006,4545.249699338255
2026-05-18 21:03:00+03:00,4545.19,4546.535,4545.09,4545.285,358,86.5,6.9,6.6,4550.43845255813,4547.697600000007,4544.956747441884
2026-05-18 21:04:00+03:00,4545.29,4546.48,4544.935,4545.775,610,45.6,23.0,31.4,4550.258350552504,4547.541600000006,4544.824849447508
2026-05-18 21:05:00+03:00,4545.835,4547.775,4545.785,4546.565,504,60.8,2.5,36.7,4549.832043238172,4547.382800000006,4544.93355676184
2026-05-18 21:06:00+03:00,4546.585,4546.63,4543.8,4544.1,513,1.6,10.6,87.8,4549.907612433806,4547.200400000006,4544.493187566206
